Tên công việc,Địa điểm,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,Tên công ty,Địa chỉ công ty,Người liên hệ,Qui mô công ty,Loại hình hoạt động
Nhân viên Vận hành máy tự động,['Bạc Liêu'],05/12/2024,Cơ khí / Ô tô / Tự động hóa,Nhân viên chính thức,7 Tr - 9 Tr VND,1 - 5 Năm,Nhân viên,03/01/2025,CÔNG TY CP TẬP ĐOÀN TÂN LONG,"Trụ sở chính tầng 14, tòa nhà Diamond Flower, số 48 Lê Văn Lương, Thanh Xuân, Hà Nội",Bộ Phận Tuyển Dụng,Hơn 2500,Cổ phần
Nhân viên Hành chính kế toán thu ngân,['Hà Nội'],05/12/2024,"Y tế / Chăm sóc sức khỏe , Hành chính / Thư ký , Kế toán / Kiểm toán",Nhân viên chính thức,9 Tr - 12 Tr VND,1 - 5 Năm,Nhân viên,03/01/2025,VIỆN THẨM MỸ Y KHOA DR HẢI LÊ,"Số 314 Phố Huế, Phường Phố Huế, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",Trần Bích Hạnh,100-499,Trách nhiệm hữu hạn
Chuyên Viên Đào Tạo Và Truyền Thông Nội Bộ,['Hà Nội'],05/12/2024,"Quảng cáo / Đối ngoại / Truyền Thông , Giáo dục / Đào tạo , Hành chính / Thư ký",Nhân viên chính thức,11 Tr - 16 Tr VND,Trên 3 Năm,Nhân viên,03/01/2025,TẬP ĐOÀN Y TẾ VIỆT NGA,"Tầng 7, tòa nhà Hancorp Plaza, số 72 Trần Đăng Ninh, Cầu Giấy, Hà Nội.",Mrs Hằng,100-499,Cổ phần
Giảng Viên Quản Trị Mạng Và Quản Trị Hệ Thống (Full-time),['Hà Nội'],05/12/2024,"Giáo dục / Đào tạo , CNTT - Phần mềm , CNTT - Phần cứng / Mạng",Nhân viên chính thức,20 Tr - 60 Tr VND,,Nhân viên,03/01/2025,CHƯƠNG TRÌNH HỌC VIỆN CÔNG NGHỆ BKACAD,"Tầng 5 nhà A17, số 17 Tạ Quang Bửu, phường Bách Khoa, quận Hai Bà Trưng, Hà Nội",Ms Yến,,Cổ phần
TUYỂN GẤP Nhân Viên Hồ Sơ Thầu Phòng Dự Án,['Hà Nội'],05/12/2024,"Dược phẩm , Y tế / Chăm sóc sức khỏe , Thu mua / Vật tư",Nhân viên chính thức,10 Tr - 12 Tr VND,Trên 2 Năm,Nhân viên,03/01/2025,CÔNG TY TNHH VẬT TƯ VÀ TRANG THIẾT BỊ Y TẾ HAT -MED VIỆT NAM,"Tòa Osaka Complex, Ngọc Hồi, Hoàng Liệt, Hoàng Mai, TP. Hà Nội",Công ty TNHH Vật tư và Trang thiết bị y tế HAT - MED,25-99,Trách nhiệm hữu hạn
Chuyên Viên Tư Vấn Tuyển Sinh,['Hà Nội'],05/12/2024,"Tư vấn , Dịch vụ khách hàng , Giáo dục / Đào tạo",Nhân viên chính thức,12 Tr - 25 Tr VND,Lên đến 2 Năm,Nhân viên,03/01/2025,CHƯƠNG TRÌNH HỌC VIỆN CÔNG NGHỆ BKACAD,"Tầng 5 nhà A17, số 17 Tạ Quang Bửu, phường Bách Khoa, quận Hai Bà Trưng, Hà Nội",Ms Yến,,Cổ phần
Nhân Viên Tuyển Dụng,['Cần Thơ'],05/12/2024,"Hành chính / Thư ký , Nhân sự",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,03/01/2025,CÔNG TY CP TẬP ĐOÀN TÂN LONG,"Trụ sở chính tầng 14, tòa nhà Diamond Flower, số 48 Lê Văn Lương, Thanh Xuân, Hà Nội",Bộ Phận Tuyển Dụng,Hơn 2500,Cổ phần
SALES SUPPORT TẠI CÔNG TY TƯ VẤN CỦA NHẬT TẠI HÀ NỘI,['Hà Nội'],05/12/2024,"Dịch vụ khách hàng , Nhân sự , Biên phiên dịch",Nhân viên chính thức,Cạnh tranh,1 - 10 Năm,Nhân viên,03/01/2025,CÔNG TY TNHH AOBA VIỆT NAM,"Tầng 10, tòa nhà Việt Á, số 9 phố Duy Tân, phường Dịch Vọng Hậu, quận Cầu Giấy, Hà Nội",Ms Tú,25-99,Trách nhiệm hữu hạn
KỸ SƯ XÂY DỰNG,['Hà Nội'],05/12/2024,"Kiến trúc , Xây dựng , Nội ngoại thất",Nhân viên chính thức,17 Tr - 18 Tr VND,1 - 3 Năm,Trưởng nhóm / Giám sát,03/01/2025,CÔNG TY TNHH KEIKO VIỆT NAM,VPDD: Phòng 2611 - Tòa nhà Star City - 23 Lê Văn Lương - Thanh Xuân - Hà Nội,Ms Thảo,100-499,Trách nhiệm hữu hạn
Nhân viên Kỹ thuật ME,['Thái Nguyên'],05/12/2024,Điện / Điện tử / Điện lạnh,Nhân viên chính thức,8 Tr - 12 Tr VND,Trên 2 Năm,Nhân viên,03/01/2025,CÔNG TY CỔ PHẦN TẬP ĐOÀN DANKO,"Tòa Nhà C6, đường Trần Hữu Dực, phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội, Việt Nam",Bộ phận tuyển dụng,1.000-4.999,Cổ phần
