Tên công việc,Địa điểm,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,Tên công ty,Địa chỉ công ty,Người liên hệ,Qui mô công ty,Loại hình hoạt động
"NỮ KẾ TOÁN TỔNG HỢP (Kinh Nghiệm Mảng Xây Dựng, sản xuất)",['Hồ Chí Minh'],04/12/2024,"Kế toán / Kiểm toán , Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,12 Tr - 15 Tr VND,2 - 5 Năm,Trưởng nhóm / Giám sát,02/01/2025,CÔNG TY TRÁCH NHIỆM HỮU HẠN THÉP QSB,"303/45 TÂN SƠN NHÌ, PHƯỜNG TÂN SƠN NHÌ – QUẬN TÂN PHÚ – TP. HỒ CHÍ MINH",Phòng Nhân Sự,100-499,Trách nhiệm hữu hạn
Chuyên viên kinh doanh xuất khẩu Sợi,['Hồ Chí Minh'],25/11/2024,"Bán hàng / Kinh doanh , Xuất nhập khẩu , Dệt may / Da giày / Thời trang",Nhân viên chính thức,15 Tr - 20 Tr VND,2 - 3 Năm,Nhân viên,24/12/2024,TỔNG CÔNG TY CP PHONG PHÚ,"48 Tăng Nhơn Phú, Tăng Nhơn Phú B, Quận 9, Thành phố Hồ Chí Minh",Ms Hoa,500-999,Cổ phần
Trưởng nhóm phát triển dự án,['Hồ Chí Minh'],10/11/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bất động sản",Nhân viên chính thức,20 Tr - 25 Tr VND,2 - 5 Năm,Trưởng nhóm / Giám sát,09/12/2024,CÔNG TY TNHH KHÔNG GIAN VUI CHƠI,"Phòng 710, Lầu 7, Tòa nhà Saigon Paragon, số 03, Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Ms. Nguyễn My,100-499,100% vốn nước ngoài
Kế toán nội bộ,['Hồ Chí Minh'],27/11/2024,"Bán lẻ / Bán sỉ , Hành chính / Thư ký , Kế toán / Kiểm toán",Nhân viên chính thức,Cạnh tranh,Lên đến 1 Năm,Nhân viên,06/11/2024,CÔNG TY TNHH ĐẦU TƯ SB GROUP,"Số 8 - 10 Hưng Gia 5, Phường Tân Phong, Quận 7",NHÂN SỰ SB GROUP,100-499,Trách nhiệm hữu hạn
KỸ THUẬT NHÀ HÀNG,['Hồ Chí Minh'],07/12/2024,"An Ninh / Bảo Vệ , Nhà hàng / Khách sạn , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,10 Tr - 15 Tr VND,2 - 10 Năm,Nhân viên,05/01/2025,CÔNG TY TNHH NHÀ HÀNG LÀNG VIỆT,"15-17 Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, TP. Hồ Chí Minh",TRẦN PHƯƠNG TÚ,100-499,Trách nhiệm hữu hạn
Giám đốc kinh doanh khách hàng Direct,['Hồ Chí Minh'],28/11/2024,"Bán hàng / Kinh doanh , Vận chuyển / Giao nhận / Kho vận , Xuất nhập khẩu",Nhân viên chính thức,20 Tr - 40 Tr VND,2 - 5 Năm,Trưởng nhóm / Giám sát,01/02/2025,"CÔNG TY TNHH PORTEVER SHIPPING VIỆT NAM (PORTEVER SHIPPING VIET NAM CO.,LTD)","Tầng 13, Tòa nhà An Phú Plaza, Số 117-119 Lý Chính Thắng, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh",HR,10-20,Trách nhiệm hữu hạn
Chuyên viên Quan hệ Khách hàng Doanh nghiệp,"['Tiền Giang', 'Hồ Chí Minh', 'Nghệ An']",28/11/2024,"Bán hàng / Kinh doanh , Ngân hàng",Nhân viên chính thức,Cạnh tranh,,Nhân viên,06/12/2024,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,5.000-9.999,Cổ phần
Supplier Quality Engineer (Củ Chi có xe đưa đón),['Hồ Chí Minh'],26/11/2024,"Quản lý chất lượng (QA/QC) , Thu mua / Vật tư",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,30/11/2024,TECHTRONIC INDUSTRIES VIETNAM MANUFACTURING COMPANY LIMITED,"Cần đổi thành 9A VSIP II-A Street 27, Vietnam - Singapore Industrial Park II-A, Vinh Tan Ward, Tan Uyen City, Binh Duong Province, Vietnam",HR Dept.,10.000-19.999,100% vốn nước ngoài
DevOps Engineer (Logistics Techhub),['Hồ Chí Minh'],26/11/2024,"Vận chuyển / Giao nhận / Kho vận , CNTT - Phần mềm",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,05/12/2024,INDO TRANS LOGISTICS,"52 Trường Sơn, P. 2, Q. Tân Bình, HCMC",HR Department,,Cổ phần
SALES ENGINEER (KỸ SƯ BÁN HÀNG),['Hồ Chí Minh'],05/12/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,03/01/2025,CÔNG TY TNHH DESMET STOLZ VIỆT NAM,"Tầng 9, Gia Định Tower, Số 566, Quốc lộ 13, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Ms. Càng Thị Thanh Xuân,25-99,100% vốn nước ngoài
